colony,day_removed,id,gametocysts,oocysts,par_presence,experimental_repeat
A,8,A1,0,0,0,1
A,8,A2,0,0,0,1
A,8,A3,0,0,0,1
A,8,A4,0,0,0,1
A,8,A5,0,0,0,1
A,8,A6,0,0,0,1
A,8,A7,0,0,0,1
A,8,A8,0,0,0,1
A,8,A9,0,0,0,1
A,8,A10,0,0,0,1
A,8,A11,0,0,0,1
A,8,A12,0,0,0,1
A,8,B1,0,0,0,1
A,8,B2,0,0,0,1
A,8,B3,0,0,0,1
A,8,B4,0,0,0,1
A,8,B5,0,0,0,1
A,8,B6,0,0,0,1
A,8,B7,0,0,0,1
A,8,B8,0,0,0,1
A,8,B9,0,0,0,1
A,8,B10,0,0,0,1
A,8,B11,0,0,0,1
A,8,B12,0,0,0,1
A,8,C1,59,10,1,1
A,8,C2,0,0,0,1
A,8,C3,0,0,0,1
A,8,C4,0,0,0,1
A,8,C5,0,0,0,1
A,8,C6,0,0,0,1
A,8,C7,0,0,0,1
A,8,C8,0,0,0,1
A,8,C9,0,0,0,1
A,8,C10,0,0,0,1
A,8,C11,0,0,0,1
A,8,C12,0,0,0,1
A,8,D1,0,0,0,1
A,8,D2,0,0,0,1
A,8,D3,0,0,0,1
A,8,D4,0,0,0,1
A,8,D5,0,0,0,1
A,8,D6,0,0,0,1
A,8,D7,0,0,0,1
A,8,D8,0,0,0,1
A,8,D9,29,44,1,1
A,8,D10,0,0,0,1
A,8,D11,0,0,0,1
A,8,D12,0,0,0,1
B,8,A1,0,0,0,1
B,8,A2,0,0,0,1
B,8,A3,0,0,0,1
B,8,A4,0,0,0,1
B,8,A5,0,0,0,1
B,8,A6,0,0,0,1
B,8,A7,0,0,0,1
B,8,A8,0,0,0,1
B,8,A9,0,0,0,1
B,8,A10,0,0,0,1
B,8,A11,0,0,0,1
B,8,A12,0,0,0,1
B,8,B1,0,0,0,1
B,8,B2,0,0,0,1
B,8,B3,0,0,0,1
B,8,B4,0,0,0,1
B,8,B5,40,17,1,1
B,8,B6,0,0,0,1
B,8,B7,0,0,0,1
B,8,B8,0,0,0,1
B,8,B9,0,0,0,1
B,8,B10,0,0,0,1
B,8,B11,0,0,0,1
B,8,B12,0,0,0,1
B,8,C1,0,0,0,1
B,8,C2,0,0,0,1
B,8,C3,0,0,0,1
B,8,C4,0,0,0,1
B,8,C5,0,0,0,1
B,8,C6,45,23,1,1
B,8,C7,0,0,0,1
B,8,C8,0,0,0,1
B,8,C9,0,0,0,1
B,8,C10,0,0,0,1
B,8,C11,0,0,0,1
B,8,C12,0,0,0,1
B,8,D1,0,0,0,1
B,8,D2,175,157,1,1
B,8,D3,0,0,0,1
B,8,D4,0,0,0,1
B,8,D5,0,0,0,1
B,8,D6,0,0,0,1
B,8,D7,0,0,0,1
B,8,D8,0,0,0,1
B,8,D9,0,0,0,1
B,8,D10,0,0,0,1
B,8,D11,0,0,0,1
B,8,D12,338,24,1,1
A,9,E1,0,pupated,pupated,1
A,9,E2,0,0,0,1
A,9,E3,0,0,0,1
A,9,E4,0,0,0,1
A,9,E5,0,0,0,1
A,9,E6,0,0,0,1
A,9,E7,0,0,0,1
A,9,E8,0,0,0,1
A,9,E9,60,33,1,1
A,9,E10,0,0,0,1
A,9,E11,0,0,0,1
A,9,E12,0,0,0,1
A,9,F1,0,0,0,1
A,9,F2,0,0,0,1
A,9,F3,0,0,0,1
A,9,F4,42,16,1,1
A,9,F5,0,0,0,1
A,9,F6,0,0,0,1
A,9,F7,0,0,0,1
A,9,F8,0,0,0,1
A,9,F9,0,0,0,1
A,9,F10,0,0,0,1
A,9,F11,0,0,0,1
A,9,F12,0,0,0,1
A,9,G1,0,0,0,1
A,9,G2,0,0,0,1
A,9,G3,0,0,0,1
A,9,G4,0,0,0,1
A,9,G5,0,0,0,1
A,9,G6,0,0,0,1
A,9,G7,0,0,0,1
A,9,G8,0,0,0,1
A,9,G9,0,0,0,1
A,9,G10,0,0,0,1
A,9,G11,0,0,0,1
A,9,G12,0,0,0,1
A,9,H1,2,6,1,1
A,9,H2,0,0,0,1
A,9,H3,0,0,0,1
A,9,H4,0,pupated,pupated,1
A,9,H5,0,0,0,1
A,9,H6,6,13,1,1
A,9,H7,0,0,0,1
A,9,H8,0,0,0,1
A,9,H9,0,0,0,1
A,9,H10,0,pupated,pupated,1
A,9,H11,0,0,0,1
A,9,H12,0,0,0,1
B,9,E1,0,0,0,1
B,9,E2,0,0,0,1
B,9,E3,0,pupated,pupated,1
B,9,E4,0,0,0,1
B,9,E5,0,0,0,1
B,9,E6,0,0,0,1
B,9,E7,0,0,0,1
B,9,E8,0,0,0,1
B,9,E9,0,0,0,1
B,9,E10,0,0,0,1
B,9,E11,0,0,0,1
B,9,E12,0,0,0,1
B,9,F1,0,0,0,1
B,9,F2,0,0,0,1
B,9,F3,0,pupated,pupated,1
B,9,F4,0,0,0,1
B,9,F5,0,0,0,1
B,9,F6,27,8,1,1
B,9,F7,0,0,0,1
B,9,F8,19,13,1,1
B,9,F9,0,0,0,1
B,9,F10,0,pupated,pupated,1
