colony,day_removed,id,oocysts,par_presence,experimental_repeat
B,9,A1,2,1,3
B,9,A2,5,1,3
B,9,A3,0,0,3
B,9,A4,1,1,3
B,9,A5,3,1,3
B,9,A6,1,1,3
B,9,A7,0,0,3
B,9,A8,0,0,3
B,9,A9,0,0,3
B,9,A10,1,1,3
B,9,A11,0,0,3
B,9,A12,35,1,3
B,9,B1,3,1,3
B,9,B2,0,0,3
B,9,B3,0,0,3
B,9,B4,3,1,3
B,9,B5,0,0,3
B,9,B6,0,0,3
B,9,B7,2,1,3
B,9,B8,1,1,3
B,9,B9,3,1,3
B,9,B10,0,0,3
B,9,B11,0,0,3
B,9,B12,2,1,3
B,9,C1,63,1,3
B,9,C2,0,0,3
B,9,C3,1,1,3
B,9,C4,0,0,3
B,9,C5,0,0,3
B,9,C6,6,1,3
B,9,C7,0,0,3
B,9,C8,0,0,3
B,9,C9,24,1,3
B,9,C10,0,0,3
B,9,C11,0,0,3
B,9,C12,0,0,3
B,9,D1,0,0,3
B,9,D2,0,0,3
B,9,D3,0,0,3
B,9,D4,0,0,3
B,9,D5,3,1,3
B,9,D6,1,1,3
B,9,D7,1,1,3
B,9,D8,0,0,3
B,9,D9,0,0,3
B,9,D10,0,0,3
B,9,D11,0,0,3
B,9,D12,0,0,3
B,9,E1,0,0,3
B,9,E2,0,0,3
B,9,E3,0,0,3
B,9,E4,0,0,3
B,9,E5,1,1,3
B,9,E6,2,1,3
B,9,E7,0,0,3
B,9,E8,20,1,3
B,9,E9,14,1,3
B,9,E10,0,0,3
B,9,E11,0,0,3
B,9,E12,0,0,3
B,9,F1,0,0,3
B,9,F2,0,0,3
B,9,F3,0,1,3
B,9,F4,0,0,3
B,9,F5,0,0,3
B,9,F6,0,0,3
B,9,F7,0,0,3
B,9,F8,0,0,3
B,9,F9,0,0,3
B,9,F10,3,1,3
B,9,F11,6,1,3
B,9,F12,0,0,3
B,9,G1,0,0,3
B,9,G2,0,0,3
B,9,G3,0,0,3
B,9,G4,0,0,3
B,9,G5,0,1,3
B,9,G6,0,0,3
B,9,G7,0,0,3
B,9,G8,0,0,3
B,9,G9,0,0,3
B,9,G10,32,1,3
B,9,G11,0,0,3
B,9,G12,0,0,3
B,9,H1,0,0,3
