"colony","group","day_removed","day_dissected","id","trophont","gamont","gut_gametocyst","par_presence","experimental_repeat"
"B","experimental",4,6,"A1","0","0","0","0",1
"B","experimental",4,6,"A2","77","1","0","1",1
"B","experimental",4,6,"A3","86","0","0","1",1
"B","experimental",4,6,"A4","0","0","0","0",1
"B","experimental",4,6,"A5","0","0","0","0",1
"B","experimental",4,6,"A6","25","0","0","1",1
"B","experimental",4,6,"A7","43","0","0","1",1
"B","experimental",4,6,"A8","0","0","0","0",1
"B","experimental",4,6,"A9","65","0","0","1",1
"B","experimental",4,6,"A10","0","0","0","0",1
"B","experimental",4,6,"A11","0","0","0","0",1
"B","experimental",4,6,"A12","58","2","0","1",1
"B","experimental",4,6,"B1","133","2","0","1",1
"B","experimental",4,6,"B2","34","1","0","1",1
"B","experimental",4,6,"B3","67","1","0","1",1
"B","experimental",4,6,"B4","0","0","0","0",1
"B","experimental",4,6,"B5","55","0","0","1",1
"B","experimental",4,6,"B6","0","0","0","0",1
"B","experimental",4,6,"B7","0","0","0","0",1
"B","experimental",4,6,"B8","0","0","0","0",1
"B","experimental",4,6,"B9","0","0","0","0",1
"B","experimental",4,6,"B10","0","0","0","0",1
"B","experimental",4,6,"B11","0","0","0","0",1
"B","experimental",4,6,"B12","0","0","0","0",1
"B","control",4,6,"A1","0","0","0","0",1
"B","control",4,6,"A2","0","0","0","0",1
"B","control",4,6,"A3","0","0","0","0",1
"B","control",4,6,"A4","0","0","0","0",1
"B","control",4,6,"A5","0","0","0","0",1
"B","control",4,6,"A6","0","0","0","0",1
"B","control",4,6,"A7","0","0","0","0",1
"B","control",4,6,"A8","0","0","0","0",1
"B","control",4,6,"A9","0","0","0","0",1
"B","control",4,6,"A10","0","0","0","0",1
"B","control",4,6,"A11","0","0","0","0",1
"B","control",4,6,"A12","0","0","0","0",1
"A","experimental",4,6,"A1","0","0","0","0",1
"A","experimental",4,6,"A2","0","0","0","0",1
"A","experimental",4,6,"A3","77","3","0","1",1
"A","experimental",4,6,"A4","0","0","0","0",1
"A","experimental",4,6,"A5","0","0","0","0",1
"A","experimental",4,6,"A6","0","0","0","0",1
"A","experimental",4,6,"A7","0","0","0","0",1
"A","experimental",4,6,"A8","dead","dead","dead","dead",1
"A","experimental",4,6,"A9","0","0","0","0",1
"A","experimental",4,6,"A10","0","0","0","0",1
"A","experimental",4,6,"A11","0","0","0","0",1
"A","experimental",4,6,"A12","0","0","0","0",1
"A","experimental",4,6,"B1","0","0","0","0",1
"A","experimental",4,6,"B2","0","0","0","0",1
"A","experimental",4,6,"B3","0","0","0","0",1
"A","experimental",4,6,"B4","0","0","0","0",1
"A","experimental",4,6,"B5","18","1","0","1",1
"A","experimental",4,6,"B6","0","0","0","0",1
"A","experimental",4,6,"B7","dead","dead","dead","dead",1
"A","experimental",4,6,"B8","0","0","0","0",1
"A","experimental",4,6,"B9","0","0","0","0",1
"A","experimental",4,6,"B10","0","0","0","0",1
"A","experimental",4,6,"B11","0","0","0","0",1
"A","experimental",4,6,"B12","10","0","0","1",1
"A","control",4,6,"A1","0","0","0","0",1
"A","control",4,6,"A2","dead","dead","dead","dead",1
"A","control",4,6,"A3","0","0","0","0",1
"A","control",4,6,"A4","0","0","0","0",1
"A","control",4,6,"A5","0","0","0","0",1
"A","control",4,6,"A6","0","0","0","0",1
"A","control",4,6,"A7","0","0","0","0",1
"A","control",4,6,"A8","0","0","0","0",1
"A","control",4,6,"A9","0","0","0","0",1
"A","control",4,6,"A10","0","0","0","0",1
"A","control",4,6,"A11","0","0","0","0",1
"A","control",4,6,"A12","0","0","0","0",1
"B","experimental",5,7,"C1","0","0","0","0",1
"B","experimental",5,7,"C2","8","1","0","1",1
"B","experimental",5,7,"C3","0","0","0","0",1
"B","experimental",5,7,"C4","346","0","0","1",1
"B","experimental",5,7,"C5","138","0","0","1",1
"B","experimental",5,7,"C6","181","1","0","1",1
"B","experimental",5,7,"C7","61","0","0","1",1
"B","experimental",5,7,"C8","8","0","0","1",1
"B","experimental",5,7,"C9","1","1","0","1",1
"B","experimental",5,7,"C10","10","0","0","1",1
"B","experimental",5,7,"C11","212","0","0","1",1
"B","experimental",5,7,"C12","92","0","0","1",1
"B","experimental",5,7,"D1","8","0","0","1",1
"B","experimental",5,7,"D2","7","0","0","1",1
"B","experimental",5,7,"D3","4","0","1","1",1
"B","experimental",5,7,"D4","0","0","0","0",1
"B","experimental",5,7,"D5","0","0","0","0",1
"B","experimental",5,7,"D6","2","0","0","1",1
"B","experimental",5,7,"D7","13","0","0","1",1
"B","experimental",5,7,"D8","52","0","0","1",1
"B","experimental",5,7,"D9","3","0","0","1",1
"B","experimental",5,7,"D10","0","0","0","0",1
"B","experimental",5,7,"D11","0","0","0","0",1
"B","experimental",5,7,"D12","0","0","0","0",1
"B","control",5,7,"B1","0","0","0","0",1
"B","control",5,7,"B2","0","0","0","0",1
"B","control",5,7,"B3","0","0","0","0",1
"B","control",5,7,"B4","0","0","0","0",1
"B","control",5,7,"B5","0","0","0","0",1
"B","control",5,7,"B6","0","0","0","0",1
"B","control",5,7,"B7","0","0","0","0",1
"B","control",5,7,"B8","0","0","0","0",1
"B","control",5,7,"B9","0","0","0","0",1
"B","control",5,7,"B10","0","0","0","0",1
"B","control",5,7,"B11","0","0","0","0",1
"B","control",5,7,"B12","0","0","0","0",1
"A","experimental",5,7,"C1","0","0","0","0",1
"A","experimental",5,7,"C2","157","1","0","1",1
"A","experimental",5,7,"C3","0","0","0","0",1
"A","experimental",5,7,"C4","0","0","0","0",1
"A","experimental",5,7,"C5","0","0","0","0",1
"A","experimental",5,7,"C6","0","0","0","0",1
"A","experimental",5,7,"C7","0","0","0","0",1
"A","experimental",5,7,"C8","0","0","0","0",1
"A","experimental",5,7,"C9","0","0","0","0",1
"A","experimental",5,7,"C10","0","0","0","0",1
"A","experimental",5,7,"C11","0","0","0","0",1
"A","experimental",5,7,"C12","0","0","0","0",1
"A","experimental",5,7,"D1","0","0","0","0",1
"A","experimental",5,7,"D2","0","0","0","0",1
"A","experimental",5,7,"D3","0","0","0","0",1
"A","experimental",5,7,"D4","0","0","0","0",1
"A","experimental",5,7,"D5","6","0","0","1",1
"A","experimental",5,7,"D6","dead","dead","dead","dead",1
"A","experimental",5,7,"D7","66","0","0","1",1
"A","experimental",5,7,"D8","0","0","0","0",1
"A","experimental",5,7,"D9","0","0","0","0",1
"A","experimental",5,7,"D10","0","1","0","1",1
"A","experimental",5,7,"D11","0","0","0","0",1
"A","experimental",5,7,"D12","0","0","0","0",1
