treatment,replicate_no,dissection_no,id,trophont,gamont,gut_gametocyst,par_presence
B,1,1,A1,0,0,0,0
B,1,1,A2,6,0,0,1
B,1,1,A3,0,0,0,0
B,1,1,A4,0,0,0,0
B,1,1,A5,0,0,0,0
B,1,1,A6,0,0,0,0
B,1,1,A7,0,0,0,0
B,1,1,A8,0,0,0,0
B,1,1,A9,0,0,0,0
B,1,1,A10,29,0,0,1
C,4,1,B1,0,0,0,0
C,4,1,B2,1,0,0,1
C,4,1,B3,10,0,0,1
C,4,1,B4,0,0,0,0
C,4,1,B5,0,0,0,0
C,4,1,B6,5,0,0,1
C,4,1,B7,0,0,0,0
C,4,1,B8,52,0,0,1
C,4,1,B9,31,0,0,1
C,4,1,B10,0,0,0,0
B,4,1,C1,0,0,0,0
B,4,1,C2,0,0,0,0
B,4,1,C3,10,0,0,1
B,4,1,C4,0,0,0,0
B,4,1,C5,21,0,0,1
B,4,1,C6,0,0,0,0
B,4,1,C7,0,0,0,0
B,4,1,C8,0,0,0,0
B,4,1,C9,44,0,0,1
B,4,1,C10,0,0,0,0
D,4,1,D1,62,0,0,1
D,4,1,D2,47,0,0,1
D,4,1,D3,0,0,0,0
D,4,1,D4,47,0,0,1
D,4,1,D5,23,0,0,1
D,4,1,D6,33,0,0,1
D,4,1,D7,0,0,0,0
D,4,1,D8,16,0,0,1
D,4,1,D9,16,0,0,1
D,4,1,D10,0,0,0,0
B,3,1,E1,0,0,0,0
B,3,1,E2,0,0,0,0
B,3,1,E3,11,0,0,1
B,3,1,E4,0,0,0,0
B,3,1,E5,0,0,0,0
B,3,1,E6,0,0,0,0
B,3,1,E7,0,0,0,0
B,3,1,E8,1,0,0,1
B,3,1,E9,0,0,0,0
B,3,1,E10,35,0,0,1
A,1,1,F1,0,0,0,0
A,1,1,F2,0,0,0,0
A,1,1,F3,31,0,0,1
A,1,1,F4,31,0,0,1
A,1,1,F5,0,0,0,0
A,1,1,F6,3,0,0,1
A,1,1,F7,0,0,0,0
A,1,1,F8,0,0,0,0
A,1,1,F9,7,0,0,1
A,1,1,F10,5,0,0,1
